Instance,Algorithm,Duration,InfeasibleCount,Obj,FeasibleObj,FeasibleAccObj
n120w8[H0-n120w8-1.txt][WD-n120w8-7.txt],TSR,421.213,0,90.3571,90.3571,90.3571
n120w8[history-week0.txt][WD-n120w8-2.txt],TSR,382.974,0,61.1012,61.1012,151.458
n120w8[history-week1.txt][WD-n120w8-6.txt],TSR,392.184,0,188.839,188.839,340.298
n120w8[history-week2.txt][WD-n120w8-4.txt],TSR,398.407,0,158.363,158.363,498.661
n120w8[history-week3.txt][WD-n120w8-5.txt],TSR,388.63,0,249.256,249.256,747.917
n120w8[history-week4.txt][WD-n120w8-2.txt],TSR,393.404,0,121.905,121.905,869.821
n120w8[history-week5.txt][WD-n120w8-0.txt],TSR,344.918,0,376.667,376.667,1246.49
n120w8[history-week6.txt][WD-n120w8-2.txt],TSR,361.412,0,4525.95,4525.95,5772.44
n100w8[H0-n100w8-1.txt][WD-n100w8-2.txt],TSR,327.863,0,177.054,177.054,177.054
n100w8[history-week0.txt][WD-n100w8-4.txt],TSR,338.376,0,55.4464,55.4464,232.5
n100w8[history-week1.txt][WD-n100w8-7.txt],TSR,335.236,0,203.78,203.78,436.28
n100w8[history-week2.txt][WD-n100w8-9.txt],TSR,357.208,0,22.1429,22.1429,458.423
n100w8[history-week3.txt][WD-n100w8-3.txt],TSR,377.007,0,186.905,186.905,645.327
n100w8[history-week4.txt][WD-n100w8-9.txt],TSR,354.437,0,36.3393,36.3393,681.667
n100w8[history-week5.txt][WD-n100w8-2.txt],TSR,363.139,0,205.208,205.208,886.875
n100w8[history-week6.txt][WD-n100w8-8.txt],TSR,383.541,0,3798.1,3798.1,4684.97
n120w4[H0-n120w4-1.txt][WD-n120w4-5.txt],TSR,443.73,0,290.923,290.923,290.923
n120w4[history-week0.txt][WD-n120w4-6.txt],TSR,383.385,0,328.631,328.631,619.554
n120w4[history-week1.txt][WD-n120w4-9.txt],TSR,392.671,0,165.774,165.774,785.327
n120w4[history-week2.txt][WD-n120w4-8.txt],TSR,350.888,0,2509.43,2509.43,3294.76
n080w8[H0-n080w8-2.txt][WD-n080w8-0.txt],TSR,267.706,0,287.768,287.768,287.768
n080w8[history-week0.txt][WD-n080w8-4.txt],TSR,253.619,0,141.786,141.786,429.554
n080w8[history-week1.txt][WD-n080w8-0.txt],TSR,231.884,0,124.881,124.881,554.435
n080w8[history-week2.txt][WD-n080w8-9.txt],TSR,279.12,0,352.351,352.351,906.786
n080w8[history-week3.txt][WD-n080w8-1.txt],TSR,248.619,0,82.7679,82.7679,989.554
n080w8[history-week4.txt][WD-n080w8-9.txt],TSR,254.078,0,278.036,278.036,1267.59
n080w8[history-week5.txt][WD-n080w8-6.txt],TSR,263.214,0,236.667,236.667,1504.26
n080w8[history-week6.txt][WD-n080w8-2.txt],TSR,276.572,0,4807.11,4807.11,6311.37
n100w4[H0-n100w4-2.txt][WD-n100w4-0.txt],TSR,352.4,0,93.2738,93.2738,93.2738
n100w4[history-week0.txt][WD-n100w4-6.txt],TSR,341.802,0,196.964,196.964,290.238
n100w4[history-week1.txt][WD-n100w4-4.txt],TSR,302.304,0,91.5476,91.5476,381.786
n100w4[history-week2.txt][WD-n100w4-6.txt],TSR,354.797,0,2313.45,2313.45,2695.24
n060w8[H0-n060w8-2.txt][WD-n060w8-1.txt],TSR,181.658,0,185.893,185.893,185.893
n060w8[history-week0.txt][WD-n060w8-0.txt],TSR,176.174,0,282.887,282.887,468.78
n060w8[history-week1.txt][WD-n060w8-3.txt],TSR,154.39,0,243.72,243.72,712.5
n060w8[history-week2.txt][WD-n060w8-4.txt],TSR,152.246,0,270.714,270.714,983.214
n060w8[history-week3.txt][WD-n060w8-0.txt],TSR,164.819,0,221.042,221.042,1204.26
n060w8[history-week4.txt][WD-n060w8-3.txt],TSR,157.854,0,271.012,271.012,1475.27
n060w8[history-week5.txt][WD-n060w8-9.txt],TSR,165.803,0,205.417,205.417,1680.68
n060w8[history-week6.txt][WD-n060w8-1.txt],TSR,182.118,0,2909.55,2909.55,4590.24
n080w4[H0-n080w4-2.txt][WD-n080w4-6.txt],TSR,260.607,0,182.679,182.679,182.679
n080w4[history-week0.txt][WD-n080w4-0.txt],TSR,275.851,0,133.393,133.393,316.071
n080w4[history-week1.txt][WD-n080w4-4.txt],TSR,294.167,0,329.315,329.315,645.387
n080w4[history-week2.txt][WD-n080w4-8.txt],TSR,251.873,0,3545.53,3545.53,4193.5
n050w8[H0-n050w8-1.txt][WD-n050w8-9.txt],TSR,122.136,0,324.781,324.781,324.781
n050w8[history-week0.txt][WD-n050w8-7.txt],TSR,120.647,0,359.156,359.156,683.938
n050w8[history-week1.txt][WD-n050w8-5.txt],TSR,125.316,0,338.344,338.344,1022.28
n050w8[history-week2.txt][WD-n050w8-3.txt],TSR,127.262,0,343.469,343.469,1365.75
n050w8[history-week3.txt][WD-n050w8-8.txt],TSR,119.297,0,415.938,415.938,1781.69
n050w8[history-week4.txt][WD-n050w8-8.txt],TSR,123.537,0,493.125,493.125,2274.81
n050w8[history-week5.txt][WD-n050w8-3.txt],TSR,125.143,0,376.094,376.094,2650.91
n050w8[history-week6.txt][WD-n050w8-1.txt],TSR,131.293,0,4305.16,4305.16,6956.06
n060w4[H0-n060w4-1.txt][WD-n060w4-9.txt],TSR,169.935,0,392.829,392.829,392.829
n060w4[history-week0.txt][WD-n060w4-6.txt],TSR,178.031,0,248.191,248.191,641.02
n060w4[history-week1.txt][WD-n060w4-3.txt],TSR,180.475,0,314.474,314.474,955.493
n060w4[history-week2.txt][WD-n060w4-8.txt],TSR,164.727,0,2473.36,2473.36,3428.85
n040w8[H0-n040w8-2.txt][WD-n040w8-5.txt],TSR,12.0028,0,90,90,90
n040w8[history-week0.txt][WD-n040w8-0.txt],TSR,65.3771,0,116.776,116.776,206.776
n040w8[history-week1.txt][WD-n040w8-4.txt],TSR,82.2256,0,133.322,133.322,340.099
n040w8[history-week2.txt][WD-n040w8-8.txt],TSR,77.4338,0,160.789,160.789,500.888
n040w8[history-week3.txt][WD-n040w8-7.txt],TSR,80.6722,0,216.678,216.678,717.566
n040w8[history-week4.txt][WD-n040w8-1.txt],TSR,81.0703,0,160.493,160.493,878.059
n040w8[history-week5.txt][WD-n040w8-7.txt],TSR,76.6967,0,185.592,185.592,1063.65
